,Job,Company,Work Location,Start Date,Duration,Stipend,Time,Internship Type
0,Business Development (Sales),Carenami,Work From Home,Immediately,3 Months,"7,500 /month",2 weeks ago,Internship
1,Client Servicing,Internshala,Gurgaon,Immediately,4 Months,"20,000 /month",1 week ago,Internship with job offer
2,Field Survey,Alsisar Impact,Work From Home,Immediately,1 Week,"1,500 /week",1 week ago,Internship
3,Social Media Marketing,Digidesi - Digital Marketing & Design,Pune,Immediately,3 Months,None,None,Internship
4,Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,1 Month,Unpaid,1 week ago,Internship
5,HR Compliance,Justdial Limited,"Ahmedabad, Chennai, Coimbatore, Pune, Bangalore, Hyderabad, Mumbai, Jaipur, Noida, Kolkata, Chandigarh",Immediately,3 Months,"5,000 /month",None,Internship
6,Human Resources (HR),ICICI Prudential Life Insurance Company Limited,Ahmedabad,Immediately,6 Months,"10,000 /month",None,Internship
7,Software Project Management,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",None,Internship
8,Content Writing,HT Media,Mumbai,Immediately,6 Months,"3,500-5,000 /month",None,Internship
9,Digital Marketing,Economic Times,Mumbai,Immediately,6 Months,"15,000 /month",None,Internship
10,Graphic Design,Boult Audio,Gurgaon,Immediately,2 Months,"8,000-15,000 /month",None,Internship with job offer
11,Public Policy & Market Research,Federation of India Chambers of Commerce and Industries,"Ambala, Chandigarh, Mohali, Panchkula",Immediately,4 Months,Unpaid,None,Internship
12,Information Technology,Kansai Nerolac Paints Limited,Mumbai,Immediately,3 Months,"8,000 /month",None,Internship
13,Sales & Marketing,EazyDiner,Work From Home,Immediately,3 Months,"6,000-10,000 /month",None,Internship
14,Operations,HCL TSS,"Delhi, Noida",Immediately,6 Months,"14,000-18,000 /month",None,Internship
15,Human Resources (HR),Thomas Cook India Limited,"Gurgaon, Mumbai",Immediately,3 Months,"2,500 /month",None,Internship
16,Operations,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,3 Months,"5,000 /month",None,Internship
17,Marketing,Khaitan & Co,Mumbai,Immediately,6 Months,None,None,Internship
18,Digital Marketing,Sportskeeda,Work From Home,Immediately,3 Months,"10,000-12,000 /month",None,Internship
19,Content Writing,Dr. A.P.J. Abdul Kalam Centre,Noida,Immediately,3 Months,"6,000 /month",None,Internship
20,Teaching,Teach For India,Delhi,Immediately,3 Months,Unpaid,None,Internship
21,Sports Educator,Teach For India,Delhi,Immediately,3 Months,Unpaid,None,Internship
22,Public Relations (PR),Great Learning,Work From Home,Immediately,3 Months,"15,000-20,000 /month",None,Internship
23,B2B Sales,Bharti Airtel Limited,"Gandhinagar, Bharuch",Immediately,3 Months,"18,000 /month",None,Internship
24,Campus Ambassador,"AAKAAR, IIT Bombay",Work From Home,Immediately,4 Months,None,None,Internship
25,Business Development (Sales),Great Learning,Gurgaon,Immediately,3 Months,"20,000 /month",None,Internship with job offer
26,Marketing,NASSCOM,Bangalore,Immediately,3 Months,"10,000 /month",None,Internship
27,Human Resources (HR),HCL Technologies,Nagpur,Immediately,3 Months,"6,000 /month",None,Internship
